move,type,step,energies,temp,current_energy
ini,I,1,4e+18,0.02,0
ini,I,2,2e+19,0.02,0
ini,I,3,6.666666666666667e+18,0.02,0
ini,I,4,2e+19,0.02,0
ini,I,5,2e+19,0.02,0
ini,I,6,2e+19,0.02,0
ini,I,7,2e+19,0.02,0
ini,I,8,2.5e+18,0.02,0
ini,I,9,1e+19,0.02,0
ini,I,10,1e+19,0.02,0
ini,I,11,2e+19,0.02,0
ini,I,12,2e+19,0.02,0
ini,I,13,3.3333333333333335e+18,0.02,0
ini,I,14,1e+19,0.02,0
ini,I,15,1e+19,0.02,0
ini,I,16,1e+19,0.02,0
ini,I,17,2e+19,0.02,0
ini,I,18,2e+19,0.02,0
ini,I,19,1.25e+18,0.02,0
ini,I,20,2e+19,0.02,0
ini,I,21,3.3333333333333335e+18,0.02,0
ini,I,22,2.5e+18,0.02,0
ini,I,23,6.666666666666667e+18,0.02,0
ini,I,24,2e+19,0.02,0
ini,I,25,2e+19,0.02,0
ini,I,26,5e+18,0.02,0
ini,I,27,2e+19,0.02,0
ini,I,28,1e+19,0.02,0
ini,I,29,2e+19,0.02,0
ini,I,30,1e+19,0.02,0
ini,I,31,6.666666666666667e+18,0.02,0
ini,I,32,2.5e+18,0.02,0
ini,I,33,4e+18,0.02,0
ini,I,34,6.666666666666667e+18,0.02,0
ini,I,35,1e+19,0.02,0
ini,I,36,2e+19,0.02,0
ini,I,37,2e+18,0.02,0
ini,I,38,2e+18,0.02,0
ini,I,39,3.3333333333333335e+18,0.02,0
ini,I,40,2e+19,0.02,0
ini,I,41,2e+19,0.02,0
ini,I,42,2e+19,0.02,0
ini,I,43,1.4285714285714286e+18,0.02,0
ini,I,44,2e+19,0.02,0
ini,I,45,2e+19,0.02,0
ini,I,46,3.3333333333333335e+18,0.02,0
ini,I,47,2e+19,0.02,0
ini,I,48,2e+19,0.02,0
ini,I,49,2e+19,0.02,0
ini,I,50,5e+18,0.02,0
ini,I,51,2e+19,0.02,0
ini,I,52,2.857142857142857e+18,0.02,0
ini,I,53,2e+19,0.02,0
ini,I,54,2e+19,0.02,0
ini,I,55,6.666666666666667e+18,0.02,0
ini,I,56,1.6666666666666668e+18,0.02,0
ini,I,57,2e+19,0.02,0
ini,I,58,2e+19,0.02,0
ini,I,59,1e+19,0.02,0
ini,I,60,2e+19,0.02,0
ini,I,61,2e+19,0.02,0
ini,I,62,1e+19,0.02,0
ini,I,63,6.666666666666667e+18,0.02,0
ini,I,64,2e+19,0.02,0
ini,I,65,2e+19,0.02,0
ini,I,66,2e+19,0.02,0
ini,I,67,1.6666666666666668e+18,0.02,0
ini,I,68,2e+18,0.02,0
ini,I,69,2.5e+18,0.02,0
ini,I,70,2e+19,0.02,0
ini,I,71,1e+19,0.02,0
ini,I,72,1e+19,0.02,0
ini,I,73,3.3333333333333335e+18,0.02,0
ini,I,74,2e+19,0.02,0
ini,I,75,4e+18,0.02,0
ini,I,76,1e+19,0.02,0
ini,I,77,2e+18,0.02,0
ini,I,78,2e+19,0.02,0
ini,I,79,2e+19,0.02,0
ini,I,80,2e+19,0.02,0
ini,I,81,2e+19,0.02,0
ini,I,82,1e+19,0.02,0
ini,I,83,2e+19,0.02,0
ini,I,84,2e+19,0.02,0
ini,I,85,2e+19,0.02,0
ini,I,86,2e+19,0.02,0
ini,I,87,2.5e+18,0.02,0
ini,I,88,2e+19,0.02,0
ini,I,89,4e+18,0.02,0
ini,I,90,2e+19,0.02,0
ini,I,91,6.666666666666667e+18,0.02,0
ini,I,92,2e+19,0.02,0
ini,I,93,2e+18,0.02,0
ini,I,94,2e+19,0.02,0
ini,I,95,1e+19,0.02,0
ini,I,96,1.25e+18,0.02,0
ini,I,97,2e+19,0.02,0
ini,I,98,2.2222222222222223e+18,0.02,0
ini,I,99,2e+19,0.02,0
ini,I,100,2e+19,0.02,0
