step,starting_modules,modules,move_type,energy,mc_outcome
1,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,3,1.3333333333333332e+18,cR
2,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYOYO2YO2,6,1e+19,cR
3,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,OYO3YO4YO4Y2OYOYO4Y2OY2O3YO2YOYOYOY2OY2O4YO4YO2YOY2O3YOY2OY3O,10,1.3333333333333332e+18,cR
4,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,O3YOYO4YO2YOYO6YO2YOYO3YOY2O2YOY2OY5O2YOYO5YO3YO4Y5OY2O,10,1.3333333333333332e+18,cR
5,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YO,7,2e+19,cR
6,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YO3YO2YO4YO4YOYO2Y2OYOYO2YO2Y2O2YOY2OY3O2Y2O2YO2YO3YO3YO2YOYOY,9,1.3333333333333332e+18,cR
7,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YOYO2YO,2,1.3333333333333332e+18,cR
8,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YOYOY2OY2OYO2Y2O2YO2YO2Y2OYO2YO3YO2YO2YO4YOYO2YO,4,1.3333333333333332e+18,cR
9,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2,6,2e+19,cR
10,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO3Y3OYOY2O3YOY2OYO2YOYO2YO5YO3Y3O4YOYOYO2YOY2OYOYO2YO4YO2,6,1.4285714285714286e+18,cR
