step,starting_modules,modules,move_type,energy,mc_outcome
1,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
2,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O3YO2YOYO2YOYO3YOYO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
3,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YO2YOYO,6,1e+19,cR
4,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
5,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
6,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2Y2O3YOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
7,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,9,1.5384615384615386e+18,cR
8,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYOYO3YO2YOYO3YOY2OYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO,2,1.5384615384615386e+18,cR
9,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO3YOYO3Y2OYOYOYOYOYOYO4YO3YOYOY2O3YOYOYO4YO2YOY2OYO2YO,10,1.5384615384615386e+18,cR
10,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,OYO2Y2OYOYO2Y2O2YO3YO2Y3OYO2YO3YO7YOYOYOYOYOY2OY2O2YO3YO,10,1.5384615384615386e+18,cR
11,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO2YOYOYOYOYO2YO2YO2YO3YO3Y2O3YO2YO2Y3O2YOYO2YOYO,4,1.5384615384615386e+18,cR
12,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O2YOYOYOYOY2O2YO2Y2OY2O2Y2OYO2YOYO4YO5YOYOYO3Y2O6YO,9,1.5384615384615386e+18,cR
13,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YOYO2YOYOYO2,6,6.666666666666667e+18,cR
14,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YO,6,2e+19,cR
15,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
16,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2Y2OYOYO2Y3O2YO2YO3YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
17,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYOYOYOYO2Y3O2YO2YOYO2YO2YO3YO2YO2YO2YO2YOYOYOYO3YOYO2YO3Y2O,9,1.5384615384615386e+18,cR
18,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,Y2O2YOYOYO4YO2YO2Y2OYO2YOYO2,6,3.3333333333333335e+18,cR
19,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
20,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2OYO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO3,4,1.5384615384615386e+18,cR
21,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,Y2O2YOYO2YO3YO,7,6.666666666666667e+18,cR
22,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,O3YO5YO3Y3OYO3YO2YOY2O2Y2O4YO2Y2OYO3Y4O3Y2O2YOY2O2YO,10,1.5384615384615386e+18,cR
23,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O2YO2YOYO3YOYOYOYO2YO3YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO,4,1.5384615384615386e+18,cR
24,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YOYO3YOYOYO3YO2YOYOYO2YOYOYO4Y2OYOYO2YO2YOYOYO4Y2O2YOYOY,10,1.5384615384615386e+18,cR
25,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO3YOYOYOYO2YO2YO2YO3YO2YOYO2YOYO2YO2Y3O2YOYO2YOYO,4,1.5384615384615386e+18,cR
26,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
27,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YOY2O3YO2YOY2O3YO2YO2YO3YOYO2Y3O2,7,2.5e+18,cR
28,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2,7,2e+19,cR
29,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO,2,1.5384615384615386e+18,cR
30,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO6Y2O2YOYOYO3Y3O3Y3O7YO5Y2OYO2Y3OYO2YO3Y4O,10,1.5384615384615386e+18,cR
31,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2,7,2e+19,cR
32,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO2YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YO2YO,4,1.5384615384615386e+18,cR
33,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO,2,1.5384615384615386e+18,cR
34,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO2YO3YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
35,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
36,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YO,7,2e+19,cR
37,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
38,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
39,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO3YOYOYOYO2YOYO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO3YOYO,4,1.5384615384615386e+18,cR
40,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
41,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YO,4,1.5384615384615386e+18,cR
42,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2,6,2e+19,cR
