move,type,step,energies,temp,current_energy,file_name
ini,I,1,2.5e+18,0.02,0,I_000001.cif
ini,I,2,2e+19,0.02,0,I_000002.cif
ini,I,3,2e+19,0.02,0,I_000003.cif
ini,I,4,2e+19,0.02,0,I_000004.cif
ini,I,5,2e+19,0.02,0,I_000005.cif
ini,I,6,2.5e+18,0.02,0,I_000006.cif
ini,I,7,6.666666666666667e+18,0.02,0,I_000007.cif
ini,I,8,2e+19,0.02,0,I_000008.cif
ini,I,9,2e+19,0.02,0,I_000009.cif
ini,I,10,2e+18,0.02,0,I_000010.cif
ini,I,11,3.3333333333333335e+18,0.02,0,I_000011.cif
ini,I,12,2e+19,0.02,0,I_000012.cif
ini,I,13,2e+18,0.02,0,I_000013.cif
ini,I,14,2e+19,0.02,0,I_000014.cif
ini,I,15,2e+19,0.02,0,I_000015.cif
ini,I,16,2e+19,0.02,0,I_000016.cif
ini,I,17,2e+19,0.02,0,I_000017.cif
ini,I,18,2e+19,0.02,0,I_000018.cif
ini,I,19,1.818181818181818e+18,0.02,0,I_000019.cif
ini,I,20,2.5e+18,0.02,0,I_000020.cif
ini,I,21,2.5e+18,0.02,0,I_000021.cif
ini,I,22,1.5384615384615386e+18,0.02,0,I_000022.cif
ini,I,23,2e+19,0.02,0,I_000023.cif
ini,I,24,2e+19,0.02,0,I_000024.cif
ini,I,25,2e+19,0.02,0,I_000025.cif
ini,I,26,6.666666666666667e+18,0.02,0,I_000026.cif
ini,I,27,5e+18,0.02,0,I_000027.cif
ini,I,28,2e+19,0.02,0,I_000028.cif
ini,I,29,2e+19,0.02,0,I_000029.cif
ini,I,30,2e+19,0.02,0,I_000030.cif
ini,I,31,6.666666666666667e+18,0.02,0,I_000031.cif
ini,I,32,2e+19,0.02,0,I_000032.cif
ini,I,33,2e+19,0.02,0,I_000033.cif
ini,I,34,2e+19,0.02,0,I_000034.cif
ini,I,35,2e+19,0.02,0,I_000035.cif
ini,I,36,2e+18,0.02,0,I_000036.cif
ini,I,37,1e+19,0.02,0,I_000037.cif
ini,I,38,2.857142857142857e+18,0.02,0,I_000038.cif
ini,I,39,2.5e+18,0.02,0,I_000039.cif
ini,I,40,2e+19,0.02,0,I_000040.cif
ini,I,41,2e+19,0.02,0,I_000041.cif
ini,I,42,2e+19,0.02,0,I_000042.cif
ini,I,43,2e+19,0.02,0,I_000043.cif
ini,I,44,2.5e+18,0.02,0,I_000044.cif
ini,I,45,2e+19,0.02,0,I_000045.cif
ini,I,46,2e+19,0.02,0,I_000046.cif
ini,I,47,6.666666666666667e+18,0.02,0,I_000047.cif
ini,I,48,6.666666666666667e+18,0.02,0,I_000048.cif
ini,I,49,6.666666666666667e+18,0.02,0,I_000049.cif
ini,I,50,2e+19,0.02,0,I_000050.cif
ini,I,51,2e+19,0.02,0,I_000051.cif
ini,I,52,5e+18,0.02,0,I_000052.cif
ini,I,53,1e+19,0.02,0,I_000053.cif
ini,I,54,2e+19,0.02,0,I_000054.cif
ini,I,55,2e+19,0.02,0,I_000055.cif
ini,I,56,5e+18,0.02,0,I_000056.cif
ini,I,57,2e+19,0.02,0,I_000057.cif
ini,I,58,2e+19,0.02,0,I_000058.cif
ini,I,59,2e+19,0.02,0,I_000059.cif
ini,I,60,2e+19,0.02,0,I_000060.cif
ini,I,61,2e+19,0.02,0,I_000061.cif
ini,I,62,6.666666666666667e+18,0.02,0,I_000062.cif
ini,I,63,2e+19,0.02,0,I_000063.cif
ini,I,64,2e+19,0.02,0,I_000064.cif
ini,I,65,2.857142857142857e+18,0.02,0,I_000065.cif
ini,I,66,2e+19,0.02,0,I_000066.cif
ini,I,67,2e+19,0.02,0,I_000067.cif
ini,I,68,2e+19,0.02,0,I_000068.cif
ini,I,69,2e+19,0.02,0,I_000069.cif
ini,I,70,2e+19,0.02,0,I_000070.cif
ini,I,71,1e+19,0.02,0,I_000071.cif
ini,I,72,1e+19,0.02,0,I_000072.cif
ini,I,73,2e+19,0.02,0,I_000073.cif
ini,I,74,2e+19,0.02,0,I_000074.cif
ini,I,75,2e+19,0.02,0,I_000075.cif
ini,I,76,2.857142857142857e+18,0.02,0,I_000076.cif
ini,I,77,2e+19,0.02,0,I_000077.cif
ini,I,78,2e+19,0.02,0,I_000078.cif
ini,I,79,2e+19,0.02,0,I_000079.cif
ini,I,80,2e+19,0.02,0,I_000080.cif
ini,I,81,2.5e+18,0.02,0,I_000081.cif
ini,I,82,2e+19,0.02,0,I_000082.cif
ini,I,83,2e+19,0.02,0,I_000083.cif
ini,I,84,2e+19,0.02,0,I_000084.cif
ini,I,85,2e+19,0.02,0,I_000085.cif
ini,I,86,2e+19,0.02,0,I_000086.cif
ini,I,87,6.666666666666667e+18,0.02,0,I_000087.cif
ini,I,88,2e+19,0.02,0,I_000088.cif
ini,I,89,2e+19,0.02,0,I_000089.cif
ini,I,90,1.5384615384615386e+18,0.02,0,I_000090.cif
ini,I,91,2e+19,0.02,0,I_000091.cif
ini,I,92,5e+18,0.02,0,I_000092.cif
ini,I,93,6.666666666666667e+18,0.02,0,I_000093.cif
ini,I,94,1e+19,0.02,0,I_000094.cif
ini,I,95,2e+19,0.02,0,I_000095.cif
ini,I,96,2e+19,0.02,0,I_000096.cif
ini,I,97,2e+19,0.02,0,I_000097.cif
ini,I,98,2e+19,0.02,0,I_000098.cif
ini,I,99,2e+19,0.02,0,I_000099.cif
ini,I,100,2e+19,0.02,0,I_000100.cif
